filename,ID,frame,centroidX,centroidY,label
bumblebox-07_2026-02-27_19_50_03,18,44,2795.25,923.25,neighbor
bumblebox-07_2026-02-27_19_50_03,18,45,3409.5,1137.25,jump
bumblebox-07_2026-02-27_19_50_03,18,46,2795.75,923.0,neighbor
bumblebox-07_2026-02-27_23_20_03,30,6,2829.0,1263.25,neighbor
bumblebox-07_2026-02-27_23_20_03,30,7,203.0,1624.75,jump
bumblebox-07_2026-02-27_23_20_03,30,8,2829.25,1263.0,neighbor
bumblebox-07_2026-02-28_01_30_03,49,93,1335.5,1276.75,neighbor
bumblebox-07_2026-02-28_01_30_03,49,94,162.5,1352.25,jump
bumblebox-07_2026-02-28_01_30_03,49,95,1326.75,1278.25,neighbor
bumblebox-07_2026-02-28_02_40_03,18,58,2916.75,1580.5,neighbor
bumblebox-07_2026-02-28_02_40_03,18,59,464.0,758.0,jump
bumblebox-07_2026-02-28_02_40_03,18,60,2916.25,1581.0,neighbor
